date,运营值,预测值(旧),预测值(新)
2024-01-13,24.4,24.246,23.06
2024-01-14,21.4,24.423,23.22
2024-01-15,23.31,24.349,23.16
2024-01-16,25.67,24.427,23.24
2024-01-17,0.0,24.686,23.47
2024-01-18,27.5,23.458,21.03
2024-01-19,26.74,23.635,21.26
2024-01-20,24.96,23.918,21.55
2024-01-21,25.52,24.089,21.76
2024-01-22,24.54,24.274,21.97
2024-01-23,10.86,24.4,22.14
2024-01-24,27.8,23.797,21.39
2024-01-25,24.75,23.777,21.42
2024-01-26,26.09,23.97,21.63
2024-01-27,24.52,24.108,21.8
2024-01-28,23.05,24.205,21.92
2024-01-29,20.55,24.243,22.0
