date,真实值,ARIMA
2024-01-01,63.148,
2024-01-02,61.462,
2024-01-03,62.542,
2024-01-04,65.49,
2024-01-05,62.159,
2024-01-06,60.85,
2024-01-07,39.923,
2024-01-08,57.282,
2024-01-09,74.007,
2024-01-10,67.618,
2024-01-11,69.375,
2024-01-12,62.505,
2024-01-13,63.56,
2024-01-14,40.663,
2024-01-15,58.605,
2024-01-16,75.338,
2024-01-17,74.023,
2024-01-18,71.313,
2024-01-19,63.0,
2024-01-20,59.128,
2024-01-21,35.245,
2024-01-22,58.13,58.6
2024-01-23,66.812,75.34
2024-01-24,65.912,74.02
2024-01-25,62.928,71.31
2024-01-26,58.66,56.44
2024-01-27,58.947,52.85
2024-01-28,35.487,37.95
2024-01-29,61.598,57.32
2024-01-30,69.746,70.4
2024-01-31,70.913,67.44
